fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,row_id,x,y,reduction_method,reduction_config
6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,9.8,6,133,7.9167395,4.720446,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,6,148,8.712122,3.760888,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
6.8,0.6,0.18,1.9,0.079,18.0,86.0,0.9968,3.59,0.57,9.3,6,159,14.743215,-2.7498024,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
7.8,0.53,0.04,1.7,0.076,17.0,31.0,0.9964,3.33,0.56,10.0,6,162,7.6596065,5.146825,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
6.8,0.63,0.07,2.1,0.089,11.0,44.0,0.9953,3.47,0.55,10.4,6,168,8.820891,3.1363192,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,6,171,9.387354,5.4901624,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,6,172,9.372165,5.5665936,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
6.7,0.62,0.21,1.9,0.079,8.0,62.0,0.997,3.52,0.58,9.3,6,184,15.034903,-2.5936959,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
7.8,0.735,0.08,2.4,0.092,10.0,41.0,0.9974,3.24,0.71,9.8,6,214,12.710514,-2.1890945,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
8.6,0.645,0.25,2.0,0.083,8.0,28.0,0.99815,3.28,0.6,10.0,6,223,11.878668,2.9088902,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
8.0,0.38,0.06,1.8,0.078,12.0,49.0,0.99625,3.37,0.52,9.9,6,231,7.7719564,5.401511,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
7.2,0.63,0.0,1.9,0.097,14.0,38.0,0.99675,3.37,0.58,9.0,6,235,11.465217,0.06701553,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
7.2,0.63,0.0,1.9,0.097,14.0,38.0,0.99675,3.37,0.58,9.0,6,236,11.383378,0.054090414,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
7.2,0.645,0.0,1.9,0.097,15.0,39.0,0.99675,3.37,0.58,9.2,6,237,11.518387,-0.12160216,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
7.2,0.63,0.0,1.9,0.097,14.0,38.0,0.99675,3.37,0.58,9.0,6,238,11.472962,-0.07025757,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
7.3,0.66,0.0,2.0,0.084,6.0,23.0,0.9983,3.61,0.96,9.9,6,245,13.39813,-2.473441,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
7.7,0.53,0.06,1.7,0.074,9.0,39.0,0.99615,3.35,0.48,9.8,6,248,7.9316664,5.3591404,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
7.3,0.66,0.0,2.0,0.084,6.0,23.0,0.9983,3.61,0.96,9.9,6,249,13.433315,-2.488056,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
7.1,0.6,0.0,1.8,0.074,16.0,34.0,0.9972,3.47,0.7,9.9,6,251,6.960063,4.425962,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
7.1,0.6,0.0,1.8,0.074,16.0,34.0,0.9972,3.47,0.7,9.9,6,254,6.9144573,4.394931,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
6.9,0.36,0.25,2.4,0.098,5.0,16.0,0.9964,3.41,0.6,10.1,6,293,10.781617,5.180097,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
7.4,0.29,0.38,1.7,0.062,9.0,30.0,0.9968,3.41,0.53,9.5,6,309,11.865563,4.1786523,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
9.1,0.785,0.0,2.6,0.093,11.0,28.0,0.9994,3.36,0.86,9.4,6,349,12.940705,-2.3321652,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
9.1,0.795,0.0,2.6,0.096,11.0,26.0,0.9994,3.35,0.83,9.4,6,351,12.662347,-2.061798,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
7.4,0.63,0.07,2.4,0.09,11.0,37.0,0.9979,3.43,0.76,9.7,6,385,13.397917,-2.398402,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
8.3,0.66,0.15,1.9,0.079,17.0,42.0,0.9972,3.31,0.54,9.6,6,387,9.220402,5.4762683,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
9.5,0.78,0.22,1.9,0.077,6.0,32.0,0.9988,3.26,0.56,10.6,6,427,12.466873,-1.4133546,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
9.5,0.735,0.1,2.1,0.079,6.0,31.0,0.9986,3.23,0.56,10.1,6,445,12.401924,-1.3447676,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
8.6,0.53,0.22,2.0,0.1,7.0,27.0,0.9967,3.2,0.56,10.2,6,448,11.604032,3.081772,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
6.8,0.56,0.03,1.7,0.084,18.0,35.0,0.9968,3.44,0.63,10.0,6,452,7.026678,4.476279,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
9.4,0.685,0.11,2.7,0.077,6.0,31.0,0.9984,3.19,0.7,10.1,6,479,12.454312,-1.4163071,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
7.8,0.52,0.25,1.9,0.081,14.0,38.0,0.9984,3.43,0.65,9.0,6,496,9.625669,5.7844653,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
7.8,0.52,0.25,1.9,0.081,14.0,38.0,0.9984,3.43,0.65,9.0,6,500,9.589543,5.737116,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
8.1,0.825,0.24,2.1,0.084,5.0,13.0,0.9972,3.37,0.77,10.7,6,537,12.204243,-1.030154,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
7.5,0.55,0.24,2.0,0.078,10.0,28.0,0.9983,3.45,0.78,9.5,6,546,16.097769,-1.5138596,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
7.6,0.51,0.24,2.4,0.091,8.0,38.0,0.998,3.47,0.66,9.6,6,585,10.475017,5.3816996,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
8.5,0.585,0.18,2.1,0.078,5.0,30.0,0.9967,3.2,0.48,9.8,6,598,11.8612175,3.2850802,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
8.3,0.6,0.13,2.6,0.085,6.0,24.0,0.9984,3.31,0.59,9.2,6,605,13.243549,3.5281162,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
7.5,0.64,0.0,2.4,0.077,18.0,29.0,0.9965,3.32,0.6,10.0,6,612,8.820801,3.380481,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
8.7,0.54,0.26,2.5,0.097,7.0,31.0,0.9976,3.27,0.6,9.3,6,628,12.821331,3.3503895,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
8.7,0.54,0.26,2.5,0.097,7.0,31.0,0.9976,3.27,0.6,9.3,6,630,12.933627,3.43011,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
7.7,0.915,0.12,2.2,0.143,7.0,23.0,0.9964,3.35,0.65,10.2,7,638,11.397145,1.03763,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
7.2,0.52,0.07,1.4,0.074,5.0,20.0,0.9973,3.32,0.81,9.6,6,658,8.720103,0.9106215,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
7.2,0.52,0.07,1.4,0.074,5.0,20.0,0.9973,3.32,0.81,9.6,6,660,8.734895,0.86467695,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
7.2,0.57,0.06,1.6,0.076,9.0,27.0,0.9972,3.36,0.7,9.6,6,662,8.773064,0.84315526,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
8.0,0.45,0.23,2.2,0.094,16.0,29.0,0.9962,3.21,0.49,10.2,6,681,11.223812,3.1236522,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
7.8,0.545,0.12,2.5,0.068,11.0,35.0,0.996,3.34,0.61,11.6,6,708,7.861012,2.5599082,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
7.2,0.49,0.18,2.7,0.069,13.0,34.0,0.9967,3.29,0.48,9.2,6,715,8.713287,4.658079,UMAP,"{'method': 'UMAP', 'normalize': True, 'pca_components': 4, 'pca_x_component': 0, 'pca_y_component': 1, 'tsne_perplexity': 30.0, 'tsne_learning_rate': 200.0, 'tsne_random_state': 42, 'umap_n_neighbors': 4, 'umap_min_dist': 0.1, 'umap_random_state': 42, 'hierarchical_mode': True, 'hierarchical_layers': 1}"
